,credit_history,applicantincome,coapplicantincome,loanamount,education_encoding,plazo_encoding,self_emp_encoding,dependents_encod,gender_Female,gender_Male,married_No,married_Yes,property_area_Rural,property_area_Semiurban,property_area_Urban,loan_status
80,1,0.4360926626911155,1.5905586096871733,0.6321099397217065,2,2,2,2,0,1,0,1,0,1,0,1
81,1,-0.48528840131674117,0.09580325352463694,-0.8181527630782164,1,3,2,2,0,1,0,1,0,0,1,1
82,1,-0.2191185272667725,-0.6137571920193944,-0.2624446246221712,2,3,2,3,0,1,1,0,0,1,0,1
83,1,-0.37789195213611426,-0.6137571920193944,-1.577168757066961,1,2,2,3,0,1,1,0,0,1,0,1
84,1,-0.7294837857649101,0.28371981108080346,-0.05913676908947175,2,3,2,3,1,0,0,1,0,1,0,1
85,1,-0.8864002115129731,-0.22505842047686733,-1.2383223311791287,2,3,2,3,0,1,0,1,0,1,0,1
86,1,-0.20209603532171636,-0.6137571920193944,-0.35732162387076427,1,2,2,3,0,1,0,1,0,1,0,1
87,1,-0.9538711795861047,0.7667667297780864,-0.14045991130255153,2,3,2,3,0,1,0,1,0,1,0,1
88,1,-0.17114604996706884,0.6583833210631189,-0.11335219723152494,1,2,2,2,0,1,0,1,0,0,1,1
89,1,0.0006263687512249021,0.8700818495963106,0.13061722940771442,2,3,2,3,0,1,1,0,0,1,0,1
90,1,-0.058488103276151865,0.7831412015983332,-0.18112148240909143,2,3,2,3,0,1,0,1,0,1,0,1
91,1,-0.5536878689505123,-0.21219276404667337,-0.5606294794034637,2,3,2,2,0,1,0,1,0,0,1,1
92,1,2.035278405965753,-0.17476539988610906,1.1336026500356984,2,3,2,2,0,1,0,1,0,0,1,1
93,0,-0.32218197849774877,0.7897689640017664,1.0116179367160787,2,3,2,2,0,1,0,1,0,0,1,0
94,1,-0.8573072252796043,-0.3197964360082957,-0.6419526216165435,1,3,2,1,0,1,0,1,0,1,0,1
95,1,0.1470197994787077,-0.6137571920193944,-0.07269062612498504,2,3,2,3,0,1,1,0,0,0,1,1
96,0,-0.3927479451063451,0.9901613096114544,0.1441710864432277,1,3,2,3,0,1,0,1,1,0,0,0
97,1,0.8078019868004322,-0.6137571920193944,-0.18112148240909143,2,3,1,2,1,0,1,0,0,1,0,1
98,1,3.0151549422938935,-0.6137571920193944,0.5914483686151666,2,2,2,2,0,1,0,1,1,0,0,1
99,1,-0.5180953857926676,0.2763123119240251,0.17127880051425431,2,3,2,3,1,0,0,1,0,1,0,1
100,1,0.22501376257241942,0.2213408708131963,0.4559097982600336,2,3,2,3,0,1,0,1,1,0,0,0
101,1,1.7229930537373594,-0.6137571920193944,1.5944337892431506,2,3,2,3,1,0,1,0,0,0,1,1
102,1,-0.20890503209973882,-0.6137571920193944,-1.3196454733922085,2,3,2,3,1,0,1,0,0,1,0,1
103,0,-0.836880234945537,2.887260830500057,-0.05913676908947175,2,3,2,3,1,0,1,0,0,1,0,1
104,1,-0.5830903550374273,-0.6137571920193944,-0.8181527630782164,2,3,2,2,0,1,0,1,0,1,0,1
105,1,-0.16743205172451114,0.1714377185991106,0.7134330819347863,1,3,2,3,0,1,0,1,1,0,0,1
106,1,-0.30206448801722785,0.02562694572357889,-0.18112148240909143,2,3,2,3,0,1,1,0,1,0,0,1
107,0,1.7554905383597394,0.8872360581699026,0.2526019427273341,2,2,1,2,0,1,0,1,0,0,1,0
108,1,-0.8749487169317535,0.1382989065819443,-0.9130297623268095,2,3,2,3,0,1,1,0,0,0,1,1
109,1,-0.657060820035035,-0.6137571920193944,-0.9672451904688627,2,3,2,3,0,1,1,0,0,1,0,1
110,1,-0.42772142855709677,-0.6137571920193944,-1.577168757066961,2,2,1,3,0,1,0,1,0,1,0,1
111,1,0.016720361135641612,-0.6137571920193944,-0.5335217653324371,2,3,2,3,0,1,1,0,0,1,0,1
112,1,-0.26028200778845373,2.407722727192827,2.014603357344063,2,3,2,1,0,1,0,1,0,1,0,0
113,1,-0.07984359317085865,-0.6137571920193944,-0.7774911919716765,2,3,2,3,1,0,0,1,1,0,0,0
114,1,-0.47197990761424274,0.750782126334512,-0.7232757638296233,2,3,1,2,0,1,0,1,0,0,1,1
115,0,3.1439068813692272,-0.6137571920193944,1.3640182196394246,2,3,2,3,0,1,1,0,0,1,0,0
116,1,-0.19838203707915866,-0.05624541337765549,-0.16756762537357814,1,3,2,2,0,1,0,1,1,0,0,0
117,1,0.06221683960697347,0.19833863658951617,0.5914483686151666,2,3,2,2,0,1,0,1,1,0,0,0
118,1,0.17827928468690168,-0.6137571920193944,0.3610327990114405,2,3,2,3,0,1,1,0,0,0,1,1
119,1,0.6527425601736482,-0.6137571920193944,0.4559097982600336,2,2,1,3,0,1,1,0,0,1,0,1
120,1,-0.6632508171059645,0.1792350861325615,-0.2624446246221712,2,3,2,3,0,1,0,1,0,1,0,1
121,1,2.1405083561715545,-0.6137571920193944,0.6185560826861931,2,2,2,2,0,1,0,1,0,0,1,1
122,1,-0.7771467632110673,1.135192345733641,-0.5606294794034637,2,3,2,3,1,0,0,1,0,1,0,1
123,1,3.102743400847546,-0.6137571920193944,-0.9672451904688627,2,3,2,2,1,0,0,1,0,0,1,1
124,1,-1.0222706472198757,-0.058194755261018215,-1.5093994718893946,2,3,2,2,0,1,0,1,0,0,1,1
125,1,1.5967171134903975,0.03576352351706505,1.1336026500356984,2,3,2,3,1,0,1,0,1,0,0,0
126,1,0.005887866261514981,-0.2901664393811823,-0.22178305351563132,2,3,2,3,0,1,0,1,0,1,0,1
127,0,0.44444915873687035,-0.6137571920193944,-0.3166600527642244,2,3,2,3,0,1,1,0,1,0,0,0
128,1,-0.7007002993850879,0.8482492205026482,0.1441710864432277,2,3,1,3,0,1,0,1,1,0,0,1
129,1,1.3385942356326372,-0.6137571920193944,1.3911259337104511,2,3,2,3,0,1,1,0,0,0,1,0
130,1,-0.7923122560348446,-0.6137571920193944,-0.3844293379417909,1,3,2,2,0,1,0,1,1,0,0,0
131,1,-0.4911688985341242,-0.6137571920193944,-1.2383223311791287,2,3,2,3,0,1,1,0,0,0,1,1
132,1,1.453728181151926,-0.6137571920193944,0.6185560826861931,2,3,2,2,0,1,0,1,0,0,1,1
133,1,-0.07984359317085865,1.5792524267636694,1.5402183611010973,2,3,2,3,0,1,0,1,0,1,0,1
134,1,-0.9216831948172712,-0.20790421190327538,-0.5877371934744904,1,3,2,3,0,1,0,1,0,1,0,1
135,1,0.9569809162098333,-0.6137571920193944,1.8112955018113632,2,3,2,3,0,1,0,1,0,0,1,0
136,0,-0.5422363743692926,-0.11472566987853719,-0.27599848165768454,2,3,2,2,0,1,0,1,0,1,0,0
137,1,-0.20859553224619234,-0.04961765097422224,0.2254942286563075,2,3,2,2,0,1,0,1,1,0,0,1
138,1,1.3871857126394338,-0.6137571920193944,-0.8994759052912962,2,2,2,3,0,1,0,1,0,0,1,1
139,1,-0.35096546487757097,0.620566088525882,0.5507867975086267,2,3,2,3,0,1,0,1,1,0,0,1
140,1,-0.07984359317085865,-0.6137571920193944,-0.39798319497730417,2,3,2,3,1,0,0,1,1,0,0,0
141,1,-0.7434112791745016,0.6856741074301971,-0.16756762537357814,2,3,2,3,0,1,0,1,1,0,0,1
142,0,-0.8059302495908895,-0.6137571920193944,-1.0621221897174558,2,3,2,3,0,1,1,0,0,1,0,0
143,1,0.9777174063974472,-0.6137571920193944,0.794756224147866,2,3,2,2,0,1,0,1,0,1,0,1
144,1,-0.40822293778366886,-0.6137571920193944,-0.8181527630782164,1,2,2,1,0,1,0,1,1,0,0,0
145,1,0.268343742068926,1.5792524267636694,0.6185560826861931,2,3,2,3,0,1,0,1,0,1,0,1
146,1,-0.15381405816846622,-0.3268140667884015,-0.7368296208651366,1,3,1,3,0,1,0,1,0,1,0,0
147,1,-0.41596043412233075,0.15194429976548338,-0.343767766835251,2,3,2,3,0,1,0,1,1,0,0,1
148,1,-0.8653542214718127,0.017439709813455453,-0.5470756223679505,2,3,2,2,0,1,0,1,1,0,0,1
149,0,0.20891977018800273,3.7917554643803606,4.7931440496242885,2,3,2,1,0,1,0,1,0,1,0,0
150,1,-0.3376569711750725,-0.6137571920193944,-0.343767766835251,2,3,2,2,0,1,0,1,0,1,0,1
151,0,-0.7762182636504279,-0.048058177467532055,-0.5335217653324371,1,3,2,3,0,1,1,0,0,0,1,0
152,0,0.4825176407230868,2.2127885388565547,0.5236790834376001,2,3,2,2,0,1,0,1,0,0,1,0
153,1,-0.07458209566056857,-0.6137571920193944,-0.9265836193623228,2,2,2,3,0,1,0,1,0,1,0,1
154,1,-0.3763444528683819,-0.6137571920193944,-0.4521986231193574,2,3,2,3,1,0,0,1,0,1,0,1
155,0,-0.8241907409501316,-0.6137571920193944,-1.0214606186109159,2,3,1,2,0,1,0,1,1,0,0,0
156,1,1.3887332119071663,-0.6137571920193944,0.6321099397217065,2,2,2,3,0,1,0,1,1,0,0,1
157,1,0.013625362600176862,-0.6137571920193944,-1.2654300452501552,1,3,2,3,0,1,1,0,1,0,0,1
158,1,2.215716820583348,-0.6137571920193944,0.3068173708693873,2,3,2,3,0,1,1,0,0,1,0,0
159,1,0.3689311944715304,-0.6137571920193944,0.2526019427273341,1,3,2,3,0,1,0,1,0,0,1,0
160,1,-0.3042309869920532,-0.6137571920193944,-0.8859220482557829,2,3,2,3,0,1,1,0,0,1,0,1
161,1,-0.20116753576107693,-0.6137571920193944,-0.2895523386931978,2,3,2,3,0,1,1,0,1,0,0,1
162,1,-0.5310943796416195,0.3932728249257885,0.38814051308246705,2,3,2,2,0,1,0,1,0,1,0,0
163,1,1.0807808576284235,0.8482492205026482,0.6185560826861931,2,3,2,3,0,1,1,0,1,0,0,1
164,1,-0.9080652012612264,0.30828151881117377,-0.2895523386931978,1,3,2,3,1,0,1,0,0,0,1,1
165,1,1.9062169670368727,-0.6137571920193944,-0.7910450490071899,2,3,1,3,0,1,1,0,0,0,1,0
166,1,-0.693581802753519,0.3609137496619673,-0.6961680497585967,1,3,2,2,0,1,0,1,0,1,0,1
167,0,0.02538635703494292,-0.6137571920193944,0.3339250849404139,2,3,2,2,0,1,1,0,0,1,0,1
168,1,-0.2627580066168255,-0.6137571920193944,-0.18112148240909143,1,2,2,1,0,1,0,1,0,0,1,0
169,1,-0.4150319345616913,-0.1915297400830285,-0.08624448316049835,1,3,2,2,0,1,0,1,0,0,1,1
170,1,-0.28597049563281113,-0.6137571920193944,-0.2353369105511446,1,3,2,2,0,1,0,1,0,1,0,1
171,1,-0.1340060675414918,-0.6137571920193944,-0.2895523386931978,1,3,2,3,1,0,1,0,0,1,0,1
172,1,-0.49426389706958895,-0.6137571920193944,-0.8317066201137298,2,3,2,3,1,0,1,0,0,0,1,1
173,1,-0.26801950412711556,0.3729996693388162,-1.170553046001562,1,3,2,3,0,1,1,0,1,0,0,1
174,1,-0.7310312850326425,-0.6137571920193944,-1.116337617859509,2,3,2,3,0,1,1,0,0,0,1,1
175,1,-0.44041092255250225,-0.6137571920193944,-0.19467533944460472,2,3,2,3,0,1,1,0,0,1,0,0
176,1,1.5967171134903975,-0.6137571920193944,0.9845102226450522,2,3,2,3,1,0,1,0,0,1,0,0
177,0,-0.43669692430994456,-0.12642172117871353,-0.18112148240909143,2,3,2,1,0,1,0,1,0,1,0,0
178,1,0.911793937592048,-0.6137571920193944,1.3369105055683979,2,3,1,2,0,1,0,1,0,0,1,1
179,1,0.2667962428011936,-0.6137571920193944,-0.15401376833806482,1,3,1,1,0,1,0,1,1,0,0,1
180,1,-0.5162383866713887,0.5640351739083631,-0.05913676908947175,2,3,2,3,0,1,0,1,0,0,1,1
181,1,-0.306706985820425,-0.23051657775028297,-0.5606294794034637,1,3,2,1,0,1,0,1,0,1,0,1
182,1,-1.4518564439423833,0.08800588599118604,-0.08624448316049835,2,3,2,3,0,1,0,1,1,0,0,0
183,1,-0.3447754678066414,0.07825917657437242,-0.14045991130255153,2,3,2,3,0,1,0,1,0,1,0,1
184,0,-0.8108822472476331,-0.6137571920193944,-1.1027837608239957,2,3,2,3,0,1,0,1,0,0,1,0
185,1,-0.25749650910653543,0.05564681072736483,-0.343767766835251,2,3,2,2,0,1,0,1,0,1,0,1
186,1,-0.5787573570877766,0.4743654472736778,0.03574023015912134,2,3,2,3,0,1,1,0,0,1,0,1
187,1,0.8471084682008346,-0.21999013158012426,0.4559097982600336,2,3,2,3,0,1,0,1,0,1,0,1
188,1,0.4360926626911155,-0.6137571920193944,-0.18112148240909143,2,3,2,3,0,1,0,1,0,1,0,1
189,1,-0.4924068979483101,-0.6137571920193944,0.38814051308246705,2,3,2,3,0,1,0,1,1,0,0,0
190,1,0.4360926626911155,0.04706970644056885,0.930294794502999,2,3,2,2,0,1,0,1,0,1,0,1
191,1,0.4825176407230868,-0.6137571920193944,0.794756224147866,2,3,1,3,0,1,1,0,1,0,0,1
192,1,-0.7273172867900848,0.1870324536660124,-0.5064140512614106,2,3,2,2,0,1,0,1,0,1,0,1
193,1,-0.5112863890146451,0.3991208505758767,-0.2895523386931978,1,3,2,3,0,1,1,0,1,0,0,1
194,1,1.0807808576284235,-0.6137571920193944,1.8790647869889299,2,3,2,3,1,0,1,0,0,1,0,1
195,1,-0.5218093840352253,0.0798186500810626,-0.018475197982931853,2,3,2,2,0,1,0,1,0,1,0,1
196,1,0.2039677725312591,-0.12252303741198808,0.38814051308246705,2,3,2,2,0,1,0,1,1,0,0,1
197,1,-0.318467980255191,-0.6137571920193944,-0.39798319497730417,2,3,2,2,1,0,1,0,1,0,0,1
198,1,-0.47228940746778925,-0.6137571920193944,-0.6148449075455169,2,3,2,2,0,1,0,1,0,1,0,1
199,1,0.3026982258125847,1.335584691343329,-0.2895523386931978,2,3,2,2,0,1,0,1,1,0,0,1
200,1,-0.7214367895727017,0.15935179892226173,-0.018475197982931853,1,2,2,2,0,1,0,1,0,0,1,0
201,1,-0.5806143562090555,1.608882423390783,0.1848326575497676,2,1,2,3,0,1,1,0,0,0,1,1
202,1,0.4360926626911155,-0.1069283023450863,-0.4521986231193574,2,3,1,2,0,1,0,1,1,0,0,1
203,1,-0.44412492079506,1.1082914277432354,-0.2488907675866579,1,3,2,3,0,1,0,1,0,1,0,1
204,1,0.3741926919818205,1.0755424841027417,-0.2895523386931978,2,2,1,3,0,1,1,0,0,0,1,0
205,1,1.5047956569870944,-0.6137571920193944,-0.39798319497730417,2,3,2,2,0,1,0,1,0,0,1,1
206,1,0.5468936102607537,-0.6137571920193944,-0.05913676908947175,1,2,2,2,0,1,0,1,0,0,1,1
207,1,-0.606302844053413,0.10477022618810546,-0.2488907675866579,2,3,2,2,0,1,0,1,0,1,0,1
208,1,-0.9383961869087809,0.11451693560491907,-0.6961680497585967,2,3,2,3,0,1,0,1,0,0,1,1
209,0,-0.9820356662588339,0.9028307932368044,0.8083100811833793,1,3,2,3,0,1,0,1,0,1,0,0
210,1,-0.437625423870584,-0.6137571920193944,-0.045582912053958445,2,3,2,2,1,0,1,0,0,0,1,0
211,1,-0.698843300263809,0.23108758023000994,-0.5064140512614106,1,3,1,3,0,1,1,0,1,0,0,1
212,1,-0.674702311687184,2.1546981507323455,1.8655109299534165,1,2,2,2,0,1,0,1,0,1,0,1
213,0,3.5310911981558677,-0.6137571920193944,0.6863253678637596,2,3,1,3,0,1,1,0,0,0,1,0
214,1,-0.5440933734905715,-0.6137571920193944,1.5402183611010973,2,3,2,1,1,0,1,0,1,0,0,1
215,0,0.3726451927140881,-0.6137571920193944,-0.35732162387076427,1,3,2,3,0,1,1,0,1,0,0,0
216,1,0.1265928091446403,-0.6137571920193944,-0.6419526216165435,2,3,2,1,0,1,0,1,0,0,1,0
217,1,3.046104927648541,0.20496639899294944,2.204357355841249,2,3,2,3,0,1,0,1,1,0,0,0
218,1,-0.8607117236686156,0.24746205205025681,-0.09979834019601164,2,3,2,3,0,1,1,0,0,1,0,1
219,1,-0.42091243177907434,-0.6137571920193944,0.1848326575497676,2,1,2,2,1,0,1,0,0,1,0,0
220,1,0.7301175235602669,-0.6137571920193944,-0.2895523386931978,2,3,2,3,1,0,1,0,1,0,0,1
221,1,0.1005948214467364,-0.6137571920193944,-0.18112148240909143,2,3,1,3,0,1,1,0,0,1,0,1
222,1,-0.23087952170153855,0.7301191023708671,0.13061722940771442,2,3,2,3,0,1,1,0,1,0,0,1
223,1,-0.04115611147754925,-0.07300975357457491,0.11706337237220113,2,3,2,2,0,1,0,1,0,1,0,1
224,0,-0.15721855655747746,0.09229443813458403,0.2526019427273341,2,3,2,1,0,1,0,1,0,0,1,1
225,1,-0.6081598431746918,-0.005562524410224684,-0.6961680497585967,2,3,2,2,1,0,1,0,0,0,1,1
226,1,-0.4964303960444143,-0.6137571920193944,-1.5093994718893946,2,3,2,3,1,0,1,0,0,0,1,1
227,1,1.9514039456546581,-0.6137571920193944,-0.07269062612498504,2,3,2,3,0,1,0,1,0,0,1,1
228,1,-0.6214683368771903,0.11022838346152108,-0.20822919648011803,2,3,2,3,0,1,1,0,1,0,0,1
229,1,-0.6873918056825895,0.25292020932367243,0.11706337237220113,2,3,2,3,0,1,0,1,0,1,0,1
230,1,-0.2912319931431012,-0.6137571920193944,-0.6961680497585967,2,3,2,2,0,1,0,1,0,1,0,1
231,1,-0.6471568247215477,0.10438035781143291,-0.35732162387076427,2,3,2,2,0,1,0,1,0,1,0,1
232,1,-0.262448506763279,0.6626718732065169,0.8896332233964591,2,3,2,3,0,1,0,1,0,1,0,1
233,1,-0.5379033764196419,-0.1069283023450863,-0.8317066201137298,2,3,2,3,0,1,0,1,0,0,1,1
234,1,3.0151549422938935,-0.6137571920193944,3.993466484529004,2,3,2,3,0,1,0,1,0,1,0,1
235,0,-0.2438785155504905,0.332063489788199,0.2254942286563075,1,3,1,2,0,1,1,0,0,0,1,0
236,1,-0.2828754970973464,-0.3018624906813586,-0.39798319497730417,2,3,2,3,0,1,0,1,0,1,0,1
237,1,-0.7861222589639151,-0.229424951051994,-0.8588143341847563,2,2,2,2,0,1,0,1,0,0,1,1
238,1,-0.9377771872016879,0.03576352351706505,-1.1841069030370754,2,3,2,3,1,0,1,0,0,0,1,1
239,1,-0.5208808844745858,0.5765109619618846,-0.7097219067941101,2,3,2,3,0,1,1,0,1,0,0,1
240,1,-0.693581802753519,0.05564681072736483,-0.574183336438977,2,3,1,3,1,0,1,0,0,1,0,0
241,1,-0.35189396443821036,0.16597956132569497,-0.2895523386931978,2,3,2,3,0,1,0,1,1,0,0,1
242,1,-0.22190402594869077,-0.6137571920193944,-0.35732162387076427,2,3,2,3,1,0,1,0,0,1,0,1
